dia_compra;mes_compra;a�o;dia_semana;nro_ticket;filial_id;suma_total;cantidad_productos;nota;el_tiempo_de_la_atencion_fue_agil_y_rapido;atencion_amable;el_local_se_encontraba__limpio_y_ordenado;pto_contacto;nivel_2;dia_respuesta;genero;rango_edad;region;segmento_actividad;medio_de_pago;vend_id;Random
25-09-2020;9;2020;Viernes;ab1d3047;613;10092;4;9;9;9;9;Local 613;Locales;26-09-2020;Masculino;De 60 años y más;Región Metropolitana;Activo;Efectivo;22498;46678
04-09-2020;9;2020;Viernes;ab1d3048;617;21678;2;3;1;10;7;Local 617;Locales;05-09-2020;Femenino;De 46 a 60 años;Región Metropolitana;Activo;Debito;17455;46821
03-09-2020;9;2020;jueves;ab1d3049;405;92313;17;2;1;4;10;Local 405;Locales;07-09-2020;Masculino;De 36 a 45 años;Región Metropolitana;Activo;Debito;1170;47227
17-09-2020;9;2020;jueves;ab1d3050;639;8498;2;10;10;10;10;Local 639;Locales;18-09-2020;Femenino;De 46 a 60 años;Región Metropolitana;Fugado;Debito;23118;47245
09-09-2020;9;2020;Miercoles;ab1d3051;539;9293;3;9;9;5;10;Local 539;Locales;10-09-2020;Femenino;De 46 a 60 años;Región Metropolitana;Activo;Debito;15207;47356
10-09-2020;9;2020;jueves;ab1d3052;421;7915;6;0;2;;4;ret_Local;Retiro en Tienda;12-09-2020;Masculino;De 46 a 60 años;VIII Biobío;Dormido;Debito;7076;47448
12-09-2020;9;2020;Sabado;ab1d3053;198;2380;1;6;6;10;9;Local 198;Locales;13-09-2020;Femenino;De 36 a 45 años;Región Metropolitana;Activo;Excedente;550;47468
22-09-2020;9;2020;Martes;ab1d3054;4;8874;3;10;10;10;10;Local 4;Locales;23-09-2020;Femenino;De 46 a 60 años;Región Metropolitana;Semi Activo;Debito;22287;47604
02-09-2020;9;2020;Miercoles;ab1d3055;595;3358;2;10;10;10;10;Local 595;Locales;03-09-2020;Femenino;De 36 a 45 años;V Valparaíso;Activo;Debito;18558;47617
25-09-2020;9;2020;Viernes;ab1d3056;549;32586;7;10;10;10;7;Local 549;Locales;27-09-2020;Femenino;De 36 a 45 años;Región Metropolitana;Activo;Credito;7618;47640
03-09-2020;9;2020;jueves;ab1d3057;382;55421;8;9;9;10;7;Local 382;Locales;04-09-2020;Femenino;De 36 a 45 años;V Valparaíso;Semi Activo;Debito;13051;47791
02-09-2020;9;2020;Miercoles;ab1d3058;473;13032;5;3;0;2;3;Local 473;Locales;03-09-2020;Masculino;De 36 a 45 años;Región Metropolitana;Activo;Debito;19141;47885
12-09-2020;9;2020;Sabado;ab1d3059;54;9647;4;10;10;10;10;Local 54;Locales;13-09-2020;Femenino;De 36 a 45 años;Región Metropolitana;Activo;Debito;2910;48103
21-09-2020;9;2020;Lunes;ab1d3060;120;56758;2;9;9;10;7;Local 120;Locales;22-09-2020;Masculino;De 46 a 60 años;Región Metropolitana;Activo;Debito;15568;48105
06-09-2020;9;2020;Domingo;ab1d3061;362;10188;4;10;10;10;10;Local 362;Locales;07-09-2020;Femenino;De 18 a 25 años;V Valparaíso;Dormido;Debito;17000;48203
16-09-2020;9;2020;Miercoles;ab1d3062;116;13438;3;10;9;10;10;Local 116;Locales;17-09-2020;Femenino;De 60 años y más;Región Metropolitana;Activo;Debito;14790;48231
25-09-2020;9;2020;Viernes;ab1d3063;354;23143;1;10;10;10;10;Local 354;Locales;26-09-2020;Masculino;De 46 a 60 años;I Tarapacá;Activo;Efectivo;7261;48310
30-09-2020;9;2020;Miercoles;ab1d3064;475;41918;2;10;10;10;10;Local 475;Locales;06-10-2020;Masculino;De 36 a 45 años;Región Metropolitana;Activo;Debito;6065;48360
12-09-2020;9;2020;Sabado;ab1d3065;153;3628;2;10;10;10;10;Local 153;Locales;14-09-2020;Femenino;De 26 a 35 años;Región Metropolitana;Activo;Debito;14214;48373
13-09-2020;9;2020;Domingo;ab1d3066;768;13599;1;10;10;10;10;Local 768;Locales;15-09-2020;Femenino;De 26 a 35 años;Región Metropolitana;Activo;Debito;10952;48398
07-09-2020;9;2020;Lunes;ab1d3067;497;7134;4;10;10;10;10;Local 497;Locales;08-09-2020;Masculino;De 26 a 35 años;VIII Biobío;Activo;Debito;12970;48476
01-09-2020;9;2020;Martes;ab1d3068;247;10537;3;10;9;;10;ret_Local;Retiro en Tienda;08-09-2020;Femenino;De 36 a 45 años;XIV Los Ríos;Dormido;Debito;4765;48489
09-09-2020;9;2020;Miercoles;ab1d3069;284;56125;10;10;8;10;10;Local 284;Locales;11-09-2020;Masculino;De 26 a 35 años;VIII Biobío;Activo;Excedente;20325;48520
10-09-2020;9;2020;jueves;ab1d3070;770;29717;5;5;8;7;10;Local 770;Locales;13-09-2020;Femenino;De 46 a 60 años;IV Coquimbo;Dormido;Credito;7833;48649
23-09-2020;9;2020;Miercoles;ab1d3071;490;50165;9;0;0;;7;ret_Local;Retiro en Tienda;25-09-2020;Femenino;De 46 a 60 años;Región Metropolitana;Activo;Debito;22134;48813
04-09-2020;9;2020;Viernes;ab1d3072;641;25517;4;10;10;10;10;Local 641;Locales;05-09-2020;Femenino;De 26 a 35 años;Región Metropolitana;Semi Activo;Excedente;6059;48919
